259351239,43,259048918,26,16170162,5,68305211,2
260341037,44,260084922,29,16237388,5,68575396,2
261530560,46,261121165,32,16260641,5,68844989,3
262530270,11,262048223,35,16277339,5,69114947,3
263588663,14,263052558,19,16355237,5,69385459,3
264542075,4,263997348,12,16419969,5,69652268,3
265601646,6,265010868,15,16532432,6,69921175,3
266610637,9,266041641,18,16631915,7,70191287,3
267616135,12,267001207,21,16659222,7,70462274,3
268662168,15,267943464,24,16761615,8,70732237,4
269707845,18,268955176,25,16885111,9,71002907,4
270750938,21,269973618,28,16947724,9,71273566,3
271795129,24,271020584,31,17008068,9,71544208,3
272781752,27,271803502,32,17027499,9,71814530,1
273779773,29,272903675,34,17081819,9,72085221,1
274842444,32,273857655,9,17196589,10,72355108,1
275879215,35,274990872,11,17256957,10,72625305,1
276900467,37,275977317,14,17302400,10,72895289,1
277926791,38,276995681,16,17350202,10,73162049,1
278807684,41,278104121,18,17428423,10,73431118,1
279839048,44,279176626,21,17489017,10,73701728,1
280986020,25,280165543,24,17542038,10,73971844,2
281970215,10,281248124,27,17572045,10,74241997,2
283028524,13,282172983,30,17622483,10,74512061,2
283970707,14,283235023,32,17708087,11,74782359,2
285097983,16,284293513,35,17824430,12,75052429,3
286180298,19,285329512,21,17866509,12,75322630,2
287277235,21,286307375,8,17919779,12,75592038,2
288314384,23,287296428,10,17984408,12,75862330,3
289325117,26,288307698,13,18075022,12,76132183,3
290371961,29,289355620,16,18127959,12,76401796,5
291428377,32,290462659,19,18152437,12,76669763,4
292403527,35,291431668,22,18266455,13,76938158,4
293450720,38,292430821,24,18344083,13,77207578,1
294433505,8,293456389,27,18441148,13,77477422,1
295451236,10,294425962,29,18457953,13,77747299,1
296542984,12,295404716,31,18478077,13,78017849,1
297520430,15,296352284,8,18546052,13,78287986,2
298527696,12,297409371,11,18628885,14,78555954,2
299426939,3,298462018,14,18663254,8,78824511,3
300375169,6,299472110,16,18706429,8,79094611,2
301398594,8,300436895,19,18782253,8,79364670,4
302486767,11,301455045,22,18902443,9,79635358,3
303519275,14,302483599,25,18943428,4,79905586,4
304560393,17,303559165,28,18959054,4,80176729,2
305609658,20,304653943,30,18975153,4,80447233,2
306657033,23,305636463,5,18991479,4,80717424,2
307689582,26,306662238,8,19011133,4,80987914,2
308692085,29,307693651,9,19065887,4,81257993,3
309670011,32,308698444,12,19118278,4,81527721,4
310681899,35,309856342,15,19151561,4,81797482,3
311716869,38,310892636,17,19171696,4,82068488,5
312878323,40,311891413,20,19195114,4,82338933,5
313995011,43,312970416,23,19290362,5,82609169,5
315126300,46,314010847,25,19317155,6,82879391,5
316096223,11,314750772,28,19349032,6,83146123,4
317129001,14,315783421,31,19380683,2,83414707,5
318142015,17,316846993,34,19396261,2,83684818,3
319178891,20,317773169,9,19412760,2,83954196,4
320200763,22,318886581,11,19430085,2,84224431,4
321286413,25,319911694,13,19446526,2,84494996,6
322255661,27,320915760,14,19481940,2,84764880,6
323257576,30,321915566,17,19516763,2,85033231,7
324250330,8,322944062,20,19609811,3,85301866,7
325282878,10,323932475,22,19637415,3,85571512,4
326250689,13,325081261,23,19771124,4,85841644,4
327315138,16,326130696,16,19901318,5,86111891,1
328319132,18,327137713,7,19920586,5,86381662,1
329296611,21,328185280,10,19984509,5,86651732,2
330198243,23,329268196,13,20055656,5,86921903,3
331195511,26,330318837,15,20158227,6,87192220,1
332216137,29,331368424,18,20183072,6,87461784,2
333197993,32,332396956,21,20306028,7,87732564,2
334230654,33,333394464,24,20429054,8,88003039,2
335297947,24,334449166,27,20482057,8,88272650,2
336327959,13,335512763,30,20516976,8,88541588,2
337370466,15,336573771,33,20609716,8,88810443,3
338471819,18,337549204,35,20707375,8,89079783,0
339581173,21,338516503,37,20733994,8,89349295,1
340636046,23,339552786,40,20773977,8,89619803,1
341729949,26,340640076,43,20889399,9,89889909,2
342710509,29,341699758,46,20986287,9,90160208,2
343735030,30,342726235,49,21030095,9,90430024,3
,,,,21172568,10,90699697,3
,,,,21200602,10,90967545,2
,,,,21332249,11,91235841,2
,,,,21394450,11,91505377,2
,,,,21465551,11,91775304,2
,,,,21488375,11,92044556,3
,,,,21581878,12,92314487,1
,,,,21637492,12,92584429,1
,,,,21698976,12,92854704,1
,,,,21767779,12,93124817,1
,,,,21827891,12,93395227,3
,,,,21844389,12,93663295,2
,,,,21880957,12,93931482,2
,,,,21992519,13,94200936,3
,,,,22071431,13,94471334,3
,,,,22178313,14,94741403,3
,,,,22235074,14,95011318,3
,,,,22318760,14,95280897,0
,,,,22356210,14,95550254,0
,,,,22393762,14,95819992,0
,,,,22450428,14,96090342,0
,,,,22570819,8,96360947,0
,,,,22623439,8,96631084,0
,,,,22713505,8,96900876,1
,,,,22744101,8,97171090,2
,,,,22764546,5,97440405,0
,,,,22780101,5,97709322,0
,,,,22796250,5,97979651,0
,,,,22813711,5,98250242,1
,,,,22830952,5,98518075,0
,,,,22913408,5,98787186,0
,,,,22940332,5,99057295,0
,,,,22966151,5,99327057,2
,,,,23082585,6,99596484,1
,,,,23145344,1,99865791,3
,,,,23160882,1,100135540,1
,,,,23177055,1,100405369,2
,,,,23193866,1,100674323,1
,,,,23215939,1,100942708,2
,,,,23233946,1,101211510,2
,,,,23266961,1,101480218,2
,,,,23288747,1,101747909,0
,,,,23381298,1,102016728,0
,,,,23432555,1,102283711,1
,,,,23451425,1,102551817,2
,,,,23553193,2,102821144,3
,,,,23661810,3,103090953,4
,,,,23730697,3,103359553,2
,,,,23755010,3,103628359,2
,,,,23783053,3,103897933,1
,,,,23870578,4,104167996,2
,,,,23991424,5,104438658,3
,,,,24091138,6,104707118,1
,,,,24112718,6,104975953,3
,,,,24230192,7,105245981,2
,,,,24312369,7,105516337,2
,,,,24353097,7,105786622,0
,,,,24431760,7,106056329,0
,,,,24453407,7,106326040,0
,,,,24485905,7,106595571,1
,,,,24535423,7,106864793,3
,,,,24636563,7,107131339,1
,,,,24693505,7,107399867,1
,,,,24795464,8,107668854,1
,,,,24812230,8,107937689,2
,,,,24859844,8,108206437,1
,,,,24965187,9,108475584,1
,,,,24987624,9,108743653,0
,,,,25009411,9,109013116,0
,,,,25057407,9,109283126,0
,,,,25128314,9,109552465,2
,,,,25151078,9,109822361,0
,,,,25206461,9,110090885,2
,,,,25233446,9,110358782,2
,,,,25310901,9,110627487,3
,,,,25412650,10,110895860,3
,,,,25473482,10,111164673,4
,,,,25592930,11,111433460,1
,,,,25612234,11,111702059,1
,,,,25718919,12,111968797,0
,,,,25850227,13,112237296,0
,,,,25930393,7,112505541,0
,,,,25949720,7,112774512,2
,,,,26061393,8,113042102,1
,,,,26164922,2,113310681,2
,,,,26180482,2,113578137,3
,,,,26196719,2,113846958,3
,,,,26213867,2,114113644,1
,,,,26231107,2,114382311,1
,,,,26252442,2,114650556,0
,,,,26271869,2,114919086,0
,,,,26288727,2,115186458,0
,,,,26310816,2,115455205,0
,,,,26414618,2,115723754,0
,,,,26445508,2,115991878,1
,,,,26532616,3,116260547,1
,,,,26604269,3,116529549,1
,,,,26667095,3,116797260,1
,,,,26697202,2,117065386,1
,,,,26731487,2,117333952,0
,,,,26843982,3,117603151,0
,,,,26893769,3,117870797,1
,,,,26934411,3,118139760,2
,,,,26981076,1,118406541,2
,,,,26996683,1,118675574,3
,,,,27012927,1,118943167,2
,,,,27029249,1,119211947,2
,,,,27046083,1,119478931,0
,,,,27063962,1,119747688,1
,,,,27093607,1,120015080,0
,,,,27145977,1,120283657,1
,,,,27183713,1,120550720,2
,,,,27247902,2,120818976,2
,,,,27282440,2,121085475,0
,,,,27308064,2,121354559,0
,,,,27440658,3,121621210,0
,,,,27559092,3,121890248,0
,,,,27578608,3,122157960,0
,,,,27622135,3,122426342,0
,,,,27649378,3,122694201,0
,,,,27728965,3,122963051,0
,,,,27819636,4,123230406,0
,,,,27840541,4,123498657,1
,,,,27857135,4,123765998,0
,,,,27909679,4,124035422,0
,,,,28020495,5,124302618,0
,,,,28118817,6,124571157,0
,,,,28220655,7,124838667,0
,,,,28319366,8,125107228,1
,,,,28449398,9,125374793,1
,,,,28554578,10,125643862,1
,,,,28671996,11,125909949,1
,,,,28729221,11,126178703,3
,,,,28813538,11,126445252,0
,,,,28931718,12,126713433,0
,,,,28982904,12,126979692,0
,,,,29012227,12,127247748,0
,,,,29084929,12,127513642,0
,,,,29190210,12,127782332,0
,,,,29215855,12,128049588,2
,,,,29250021,12,128318633,2
,,,,29296445,12,128585091,1
,,,,29322786,12,128853654,1
,,,,29451526,13,129120888,2
,,,,29469451,6,129390102,3
,,,,29491350,6,129656993,2
,,,,29568889,6,129925421,3
,,,,29622725,6,130192641,0
,,,,29726303,7,130461454,0
,,,,29766229,3,130728005,0
,,,,29781820,3,130996422,2
,,,,29798106,3,131263629,2
,,,,29814640,3,131532389,2
,,,,29834666,3,131798329,0
,,,,29857132,3,132067132,0
,,,,29887383,3,132334404,1
,,,,29977043,4,132602559,1
,,,,30003573,4,132868555,0
,,,,30050085,4,133137381,1
,,,,30075396,4,133403679,1
,,,,30178766,5,133672213,1
,,,,30258957,5,133938768,1
,,,,30291550,5,134207743,1
,,,,30315270,5,134474119,0
,,,,30422569,3,134742767,1
,,,,30552185,4,135009335,0
,,,,30628945,2,135278153,2
,,,,30644488,2,135544751,0
,,,,30660639,2,135813154,0
,,,,30676998,2,136080168,1
,,,,30696437,2,136348626,1
,,,,30713375,2,136614989,1
,,,,30739364,2,136883645,1
,,,,30829468,2,137150022,0
